product_id,current_stock,safety_stock,reorder_point,reserved_stock,warehouse
P019,4,5,9,1,Warehouse B
P024,8,16,28,1,Warehouse C
P035,5,5,9,0,Warehouse B
P037,15,15,27,2,Warehouse C
P044,9,15,28,1,Warehouse C
P058,4,5,9,1,Main Warehouse
P060,4,5,9,1,Warehouse C
P061,4,5,9,1,Warehouse C
P078,7,15,27,1,Warehouse C
P093,5,15,27,0,Warehouse B
P1004,4,6,10,0,Warehouse C
P1014,15,17,31,2,Warehouse C
P1059,4,5,9,0,Warehouse C
P1073,3,6,10,0,Main Warehouse
P116,7,15,27,1,Warehouse B
P127,6,5,10,0,Main Warehouse
P134,8,14,26,1,Main Warehouse
P1346,5,5,9,1,Warehouse B
P1347,5,5,9,0,Main Warehouse
P1348,4,5,9,1,Warehouse B
P1349,3,5,9,0,Main Warehouse
P135,9,14,26,1,Main Warehouse
P1350,2,5,9,0,Warehouse B
P1351,6,5,9,1,Warehouse B
P1352,4,5,9,1,Warehouse B
P1353,2,5,9,0,Warehouse C
P1354,3,5,9,0,Warehouse C
P1355,6,5,9,0,Main Warehouse
P1356,5,5,9,0,Warehouse B
P1357,4,5,9,0,Warehouse C
P1358,5,5,9,1,Warehouse B
P1359,4,5,9,0,Warehouse C
P1360,2,5,9,0,Main Warehouse
P1361,2,5,9,0,Warehouse B
P1362,4,5,9,1,Main Warehouse
P1363,3,5,9,0,Warehouse B
P172,5,14,26,1,Warehouse B
P191,13,17,30,1,Warehouse B
P203,5,5,9,0,Warehouse C
P208,2,5,9,0,Warehouse B
P216,6,5,9,1,Warehouse C
P226,4,5,9,1,Warehouse B
P235,9,14,26,1,Main Warehouse
P249,9,15,27,1,Warehouse C
P251,16,16,29,3,Warehouse C
P258,17,15,26,1,Main Warehouse
P273,15,16,29,3,Warehouse B
P276,10,15,27,2,Main Warehouse
P278,5,15,26,1,Warehouse B
P282,11,15,27,2,Warehouse C
P295,8,15,27,1,Warehouse C
P303,2,5,9,0,Warehouse B
P305,6,5,9,1,Warehouse C
P306,9,16,29,2,Warehouse B
P311,4,5,9,1,Main Warehouse
P359,12,15,27,2,Warehouse B
P364,5,5,9,1,Warehouse C
P365,20,18,33,2,Warehouse B
P403,7,6,11,0,Main Warehouse
P502,14,18,32,3,Warehouse B
P564,8,15,27,1,Warehouse C
P565,15,15,28,2,Warehouse C
P567,17,15,27,2,Warehouse B
P572,7,15,27,0,Warehouse B
P607,3,5,9,1,Warehouse C
P625,2,5,9,0,Warehouse C
P627,12,16,29,2,Warehouse B
P642,9,15,27,2,Warehouse B
P646,11,15,27,2,Warehouse B
P647,2,5,9,0,Warehouse B
P652,3,5,9,0,Warehouse C
P666,5,5,9,0,Warehouse C
P671,6,5,9,1,Warehouse C
P677,12,15,28,2,Warehouse C
P691,5,14,25,0,Warehouse B
P703,8,15,26,1,Main Warehouse
P705,2,5,9,0,Main Warehouse
P715,4,5,9,0,Main Warehouse
P724,14,16,28,1,Warehouse B
P725,6,5,9,1,Main Warehouse
P728,16,15,28,2,Main Warehouse
P730,7,15,27,1,Warehouse B
P743,2,5,9,0,Warehouse B
P768,5,5,9,0,Warehouse C
P771,9,15,27,1,Main Warehouse
P773,4,5,9,1,Main Warehouse
P775,9,16,28,2,Warehouse B
P777,6,15,27,1,Warehouse C
P778,17,15,27,1,Warehouse B
P786,4,5,9,1,Warehouse B
P792,6,15,28,1,Main Warehouse
P793,15,14,26,3,Warehouse B
P797,9,15,27,1,Main Warehouse
P804,17,16,28,1,Warehouse C
P810,5,15,26,1,Warehouse B
P818,12,15,27,2,Main Warehouse
P821,9,15,26,1,Warehouse C
P822,14,15,27,1,Warehouse B
P823,10,15,27,1,Main Warehouse
P825,16,16,28,2,Warehouse B
P828,9,15,26,1,Main Warehouse
P835,8,15,27,1,Main Warehouse
P845,4,5,10,0,Warehouse B
P858,4,5,9,0,Warehouse C
P860,3,7,12,0,Warehouse C
P885,6,15,28,0,Main Warehouse
P886,6,15,27,1,Warehouse C
P893,9,15,27,2,Main Warehouse
P897,13,15,26,1,Main Warehouse
P905,16,15,27,2,Warehouse B
P906,14,15,27,1,Warehouse B
P917,16,16,28,3,Warehouse C
P924,13,15,27,1,Warehouse C
P926,12,15,28,2,Main Warehouse
P957,3,6,10,0,Warehouse C
P977,15,16,28,3,Warehouse B
P981,7,16,29,1,Main Warehouse
P982,4,5,9,1,Warehouse C
