product_id,elasticity,r_squared,n_obs,avg_price,min_price,max_price
P019,-0.805,0.085,54,114.09,96.87,124.99
P024,-0.446,0.005,56,72.29,59.99,79.99
P035,0.144,0.002,52,144.2,119.99,159.99
P037,0.019,0.0,232,31.56,26.24,34.99
P044,0.092,0.0,261,53.56,44.99,59.99
P078,-0.891,0.017,55,90.23,74.99,98.99
P093,0.401,0.004,244,22.37,18.74,24.99
P1004,0.766,0.002,1006,359.26,335.09,385.98
P1014,-0.1,0.0,1006,44.91,41.14,48.77
P1073,1.143,0.008,1006,179.6,159.99,193.99
P116,0.556,0.007,267,40.28,33.74,44.99
P134,-0.044,0.0,236,22.53,18.75,25.0
P135,0.117,0.0,259,19.69,16.5,22.0
P172,0.131,0.0,261,27.09,22.5,30.0
P191,0.185,0.0,1006,89.81,80.49,97.12
P216,-0.057,0.0,50,168.85,141.75,189.0
P235,-0.212,0.001,252,31.44,26.24,34.99
P249,-0.408,0.004,236,49.62,41.23,54.97
P251,1.223,0.032,51,79.67,67.49,89.99
P258,-1.094,0.032,54,84.99,71.24,94.99
P273,-0.084,0.0,216,25.21,20.99,27.99
P276,-0.142,0.0,245,28.79,23.99,31.99
P278,-0.105,0.0,235,40.26,33.74,44.99
P282,0.402,0.003,238,28.96,23.99,31.99
P295,0.875,0.013,48,89.14,76.21,99.95
P305,-0.677,0.046,55,180.52,149.25,199.0
P306,0.594,0.009,47,82.62,67.49,89.99
P311,-0.503,0.016,39,99.45,82.46,109.95
P359,2.033,0.081,54,88.73,74.99,99.99
P365,-0.05,0.0,1006,53.9,50.07,58.08
P403,-1.299,0.004,1006,116.79,112.44,122.34
P502,-0.289,0.001,1006,44.93,41.21,48.38
P564,-0.363,0.003,245,27.0,22.5,30.0
P565,-0.305,0.002,265,63.12,52.5,70.0
P567,-0.16,0.001,243,22.46,18.75,25.0
P572,-0.23,0.001,254,35.76,29.99,39.99
P607,-0.078,0.0,57,224.09,187.49,249.99
P625,0.015,0.0,55,179.03,149.99,199.99
P627,0.052,0.0,1006,35.93,32.67,39.35
P642,0.516,0.006,249,26.99,22.5,30.0
P646,-1.137,0.021,58,90.67,74.99,99.99
P647,0.415,0.025,59,120.88,101.24,134.99
P652,0.094,0.001,48,118.18,97.49,129.99
P666,-0.329,0.009,66,98.48,82.49,109.99
P671,0.204,0.004,54,186.95,157.49,209.99
P677,-0.443,0.004,46,90.28,77.66,99.99
P691,-0.545,0.005,44,71.87,59.99,79.99
P703,-0.111,0.0,260,18.03,14.99,19.99
P705,-0.579,0.032,56,108.23,89.99,119.99
P715,0.444,0.023,56,116.11,97.49,127.39
P724,0.069,0.0,57,88.55,75.0,100.0
P725,-0.572,0.025,60,97.3,81.0,108.0
P728,-0.266,0.002,266,58.34,48.75,65.0
P730,0.326,0.002,54,70.95,60.0,79.2
P743,0.509,0.035,49,153.32,127.49,169.99
P771,0.122,0.0,245,35.79,29.99,39.99
P773,0.287,0.005,41,224.3,187.49,249.99
P775,0.011,0.0,243,8.95,7.49,9.99
P777,-0.057,0.0,56,72.14,59.99,79.99
P778,-0.434,0.004,233,22.53,18.74,24.99
P786,-0.39,0.02,53,162.6,134.99,179.99
P792,0.385,0.004,250,13.41,11.24,14.99
P793,0.005,0.0,253,13.52,11.24,14.99
P797,0.439,0.004,243,16.2,13.49,17.99
P804,-0.096,0.0,259,17.99,14.99,19.99
P810,0.266,0.002,245,17.84,14.99,19.99
P818,-0.03,0.0,246,43.26,35.99,47.99
P821,-0.244,0.001,250,46.52,38.99,51.99
P822,0.346,0.003,227,42.93,35.99,47.99
P823,-0.134,0.0,254,46.97,38.99,51.99
P825,-0.56,0.008,219,28.87,23.99,31.99
P828,-0.0,0.0,254,28.5,23.99,31.99
P835,-0.184,0.001,259,28.67,23.99,31.99
P858,0.391,0.02,52,179.67,159.99,199.99
P885,-0.224,0.001,255,22.58,18.74,24.99
P886,-0.064,0.0,243,22.46,18.74,24.99
P893,0.155,0.001,247,22.25,18.74,24.99
P897,0.205,0.001,241,22.3,18.74,24.99
P905,-0.943,0.022,264,22.42,18.74,24.99
P906,0.06,0.0,254,22.31,18.74,24.99
P917,-0.134,0.0,259,19.74,16.49,21.99
P924,0.325,0.002,243,14.32,11.99,15.99
P926,0.129,0.0,250,14.41,11.99,15.99
P957,0.403,0.001,1006,269.44,242.38,292.48
P977,0.067,0.0,270,26.95,22.49,29.99
P981,0.257,0.001,46,88.14,74.25,99.0
P982,-0.164,0.003,49,133.8,112.49,149.99
