product_id,current_stock,safety_stock,reorder_point,reserved_stock,warehouse
P019,12,5,9,1,Warehouse B
P024,36,16,28,2,Warehouse C
P035,14,5,9,2,Warehouse C
P037,21,15,27,2,Warehouse C
P044,28,15,28,5,Warehouse C
P058,13,5,9,2,Warehouse B
P060,8,5,9,1,Warehouse C
P061,13,5,9,2,Main Warehouse
P078,36,15,27,4,Main Warehouse
P093,39,15,27,7,Warehouse C
P1004,9,6,10,1,Warehouse B
P1014,25,17,31,4,Main Warehouse
P1059,12,5,9,2,Warehouse B
P1073,10,6,10,1,Main Warehouse
P116,23,15,27,2,Warehouse C
P127,8,5,10,1,Warehouse B
P134,27,14,26,5,Warehouse B
P1346,8,5,9,1,Warehouse C
P1347,12,5,9,1,Warehouse C
P1348,11,5,9,1,Main Warehouse
P1349,8,5,9,0,Warehouse C
P135,33,14,26,5,Warehouse C
P1350,12,5,9,1,Warehouse B
P1351,7,5,9,0,Warehouse B
P1352,11,5,9,1,Warehouse C
P1353,12,5,9,2,Warehouse B
P1354,10,5,9,1,Warehouse C
P1355,6,5,9,1,Main Warehouse
P1356,8,5,9,1,Warehouse C
P1357,8,5,9,0,Warehouse C
P1358,8,5,9,1,Warehouse B
P1359,10,5,9,2,Warehouse B
P1360,11,5,9,1,Warehouse B
P1361,7,5,9,0,Warehouse C
P1362,7,5,9,1,Warehouse C
P1363,7,5,9,1,Warehouse B
P172,21,14,26,3,Warehouse B
P191,30,17,30,3,Warehouse B
P203,11,5,9,1,Warehouse C
P208,7,5,9,1,Main Warehouse
P216,13,5,9,2,Warehouse B
P226,14,5,9,2,Main Warehouse
P235,33,14,26,4,Warehouse C
P249,20,15,27,4,Main Warehouse
P251,31,16,29,2,Warehouse C
P258,31,15,26,2,Main Warehouse
P273,41,16,29,7,Warehouse B
P276,28,15,27,4,Warehouse C
P278,31,15,26,5,Warehouse B
P282,28,15,27,2,Main Warehouse
P295,30,15,27,3,Warehouse B
P303,7,5,9,1,Main Warehouse
P305,7,5,9,1,Warehouse C
P306,29,16,29,4,Warehouse B
P311,6,5,9,1,Warehouse B
P359,37,15,27,2,Warehouse B
P364,10,5,9,1,Warehouse B
P365,38,18,33,5,Warehouse C
P403,10,6,11,1,Warehouse B
P502,34,18,32,2,Warehouse B
P564,39,15,27,7,Warehouse B
P565,32,15,28,2,Main Warehouse
P567,34,15,27,3,Main Warehouse
P572,35,15,27,6,Warehouse B
P607,7,5,9,1,Warehouse C
P625,6,5,9,1,Main Warehouse
P627,29,16,29,5,Warehouse B
P642,26,15,27,5,Warehouse C
P646,25,15,27,3,Warehouse C
P647,14,5,9,1,Main Warehouse
P652,6,5,9,1,Warehouse C
P666,13,5,9,2,Warehouse C
P671,13,5,9,2,Main Warehouse
P677,26,15,28,4,Warehouse B
P691,31,14,25,3,Warehouse C
P703,35,15,26,3,Main Warehouse
P705,13,5,9,1,Main Warehouse
P715,13,5,9,1,Main Warehouse
P724,23,16,28,3,Warehouse C
P725,8,5,9,1,Warehouse C
P728,37,15,28,7,Warehouse B
P730,21,15,27,1,Warehouse B
P743,8,5,9,1,Main Warehouse
P768,7,5,9,1,Warehouse C
P771,35,15,27,5,Warehouse B
P773,12,5,9,2,Main Warehouse
P775,37,16,28,3,Warehouse B
P777,40,15,27,4,Main Warehouse
P778,26,15,27,3,Warehouse B
P786,14,5,9,1,Warehouse B
P792,41,15,28,2,Warehouse B
P793,32,14,26,2,Warehouse B
P797,21,15,27,2,Main Warehouse
P804,33,16,28,6,Warehouse C
P810,36,15,26,4,Warehouse B
P818,18,15,27,1,Warehouse C
P821,37,15,26,6,Warehouse B
P822,31,15,27,4,Main Warehouse
P823,39,15,27,5,Main Warehouse
P825,28,16,28,3,Warehouse B
P828,33,15,26,6,Main Warehouse
P835,24,15,27,2,Warehouse B
P845,13,5,10,2,Warehouse C
P858,7,5,9,1,Main Warehouse
P860,10,7,12,2,Main Warehouse
P885,22,15,28,4,Main Warehouse
P886,22,15,27,2,Warehouse B
P893,21,15,27,1,Main Warehouse
P897,19,15,26,1,Warehouse C
P905,32,15,27,5,Main Warehouse
P906,28,15,27,3,Warehouse C
P917,41,16,28,7,Warehouse B
P924,19,15,27,1,Warehouse C
P926,25,15,28,3,Main Warehouse
P957,10,6,10,1,Main Warehouse
P977,32,16,28,2,Warehouse B
P981,40,16,29,2,Warehouse B
P982,7,5,9,1,Warehouse C
