product_id,product_name,category,unit_cost,selling_price,primary_market,avg_profit_margin
P019,Nike Men's Fingertrap Max Training Shoe,Soccer,124.9899979,168.74,Europe,0.147
P024,Elevation Training Mask 2.0,Soccer,79.98999786,107.99,Europe,0.147
P035,adidas Brazuca 2014 Official Match Ball,Baseball & Softball,159.9900055,215.99,Europe,0.138
P037,adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,34.99000168,47.24,LATAM,0.138
P044,adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,59.99000168,80.99,LATAM,0.138
P058,Diamondback Boys' Insight 24 Performance Hybr,Basketball,299.9899902,404.99,Europe,0.108
P060,SOLE E25 Elliptical,Basketball,999.9899902,1349.99,Europe,0.108
P061,Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,299.9899902,404.99,Europe,0.108
P078,Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,99.98999786,134.99,Europe,0.131
P093,Under Armour Men's Tech II T-Shirt,Lacrosse,24.98999977,33.74,LATAM,0.131
P116,Nike Men's Comfort 2 Slide,Tennis & Racquet,44.99000168,60.74,LATAM,0.134
P127,Stiga Master Series ST3100 Competition Indoor,Hockey,329.9899902,445.49,Europe,0.128
P134,Nike Women's Legend V-Neck T-Shirt,Hockey,25.0,33.75,LATAM,0.128
P135,Nike Dri-FIT Crew Sock 6 Pack,Hockey,22.0,29.7,LATAM,0.128
P172,Nike Women's Tempo Shorts,Cardio Equipment,30.0,40.5,LATAM,0.119
P191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,99.98999786,134.99,LATAM,0.119
P203,GoPro HERO3+ Black Edition Camera,Strength Training,399.9899902,539.99,Europe,0.059
P208,SOLE E35 Elliptical,Strength Training,1999.98999,2699.99,Europe,0.059
P216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Strength Training,189.0,255.15,Europe,0.059
P226,Bowflex SelectTech 1090 Dumbbells,Fitness Accessories,599.9899902,809.99,Europe,0.151
P235,Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,34.99000168,47.24,LATAM,0.151
P249,Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,54.97000122,74.21,LATAM,0.113
P251,Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,89.98999786,121.49,Europe,0.113
P258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,94.98999786,128.24,Europe,0.113
P273,Under Armour Kids' Mercenary Slide,Electronics,27.98999977,37.79,LATAM,0.125
P276,Under Armour Women's Ignite Slide,Electronics,31.98999977,43.19,Pacific Asia,0.125
P278,Under Armour Men's Compression EV SL Slide,Electronics,44.99000168,60.74,LATAM,0.125
